City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mataura,NZ,-46.1927,168.8643,67.06,57,100,3.11,overcast clouds
79,Njombe,TZ,-9.3333,34.7667,58.71,85,72,6.11,broken clouds
80,Luderitz,NA,-26.6481,15.1594,57.15,78,0,10.13,clear sky
81,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,72,3.44,broken clouds
82,Kodiak,US,57.79,-152.4072,32.22,85,98,12.77,overcast clouds
83,Guerrero Negro,MX,27.9769,-114.0611,64.96,84,99,8.63,overcast clouds
84,Muroto,JP,33.2833,134.15,71.64,72,100,26.46,light rain
85,Necochea,AR,-38.5473,-58.7368,53.04,89,47,11.5,scattered clouds
86,Acapulco,MX,16.8634,-99.8901,77.63,81,34,3.38,scattered clouds
87,Cape Town,ZA,-33.9258,18.4232,60.12,76,20,3.0,few clouds
88,Ust-Tsilma,RU,65.441,52.1498,20.91,94,40,3.27,scattered clouds
89,Ankazoabo,MG,-22.2833,44.5167,83.39,46,31,5.57,scattered clouds
90,Hangu,CN,39.2489,117.7892,37.44,70,0,22.75,clear sky
91,Ayan,RU,56.45,138.1667,24.66,51,2,13.82,clear sky
92,Bengkulu,ID,-3.8004,102.2655,84.61,66,100,8.05,overcast clouds
93,Qaanaaq,GL,77.484,-69.3632,2.14,69,65,7.65,broken clouds
94,San Quintin,MX,30.4833,-115.95,60.89,88,11,4.05,few clouds
95,Lakeside,US,30.13,-81.7682,55.45,85,0,0.0,clear sky
96,Tomatlan,MX,19.9333,-105.25,72.7,93,16,3.15,few clouds
97,Barabai,ID,-2.5833,115.3833,80.31,86,99,2.28,light rain
98,Antalya,TR,36.7741,30.7178,57.79,47,0,6.91,clear sky
99,Port Hardy,CA,50.6996,-127.4199,41.0,93,75,5.75,light rain
100,Salalah,OM,17.0151,54.0924,78.89,69,0,4.61,clear sky
101,Cabo San Lucas,MX,22.8909,-109.9124,79.52,49,33,9.04,scattered clouds
102,Narsaq,GL,60.9167,-46.05,30.42,84,100,2.46,overcast clouds
103,Heihe,CN,50.2441,127.4902,21.78,58,62,10.92,broken clouds
104,Ixtapa,MX,20.7,-105.2,73.0,92,29,3.02,scattered clouds
105,Mackay,AU,-21.15,149.2,87.78,58,39,19.57,scattered clouds
106,Rundu,NA,-17.9333,19.7667,73.94,55,95,3.47,overcast clouds
107,Half Moon Bay,US,37.4636,-122.4286,54.91,79,1,1.99,clear sky
108,Lindi,TZ,-10.0,39.7167,82.81,61,77,6.08,broken clouds
109,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,90,5.75,light rain
110,Teguise,ES,29.0605,-13.564,59.22,67,0,10.36,clear sky
111,Rawson,AR,-43.3002,-65.1023,59.68,51,100,4.03,overcast clouds
112,Hermanus,ZA,-34.4187,19.2345,59.9,71,41,1.61,scattered clouds
113,Japura,ID,-0.3167,102.35,91.94,52,95,2.8,overcast clouds
114,Kropotkin,RU,45.4375,40.5756,52.5,87,99,6.87,overcast clouds
115,Pandan,PH,14.0453,124.1694,82.51,87,99,12.73,overcast clouds
116,Tuatapere,NZ,-46.1333,167.6833,63.82,60,100,4.52,overcast clouds
117,Mandurah,AU,-32.55,115.7,80.17,52,65,12.75,broken clouds
118,Sete Lagoas,BR,-19.4658,-44.2467,68.32,95,100,2.48,overcast clouds
119,Faanui,PF,-16.4833,-151.75,79.3,75,22,11.18,few clouds
120,Stykkisholmur,IS,65.0757,-22.7297,35.13,92,100,18.97,snow
121,Codrington,AU,-38.2667,141.9667,59.43,61,70,11.39,broken clouds
122,Castro,BR,-24.7911,-50.0119,58.62,97,93,6.13,overcast clouds
123,Sillod,IN,20.3,75.65,76.6,32,100,9.04,overcast clouds
124,Winona,US,43.9666,-91.7668,52.3,90,6,7.78,clear sky
125,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,75,10.36,broken clouds
126,Pundaguitan,PH,6.3711,126.1689,84.36,75,10,9.4,clear sky
127,Hervey Bay,AU,-25.2986,152.8535,80.71,84,93,20.0,light rain
128,San Policarpo,PH,12.1791,125.5072,84.24,81,85,8.39,overcast clouds
129,Kruisfontein,ZA,-34.0033,24.7314,56.88,87,100,5.68,overcast clouds
130,Bilma,NE,18.6853,12.9164,72.12,19,41,5.86,scattered clouds
131,Santa Maria,BR,-29.6842,-53.8069,60.1,82,0,8.05,clear sky
132,Xudat,AZ,41.631,48.681,54.09,61,49,4.07,scattered clouds
133,Namwala,ZM,-15.7504,26.4384,78.17,27,2,5.14,clear sky
134,Tarakan,ID,3.3,117.6333,80.1,89,75,5.75,heavy intensity rain
135,Nizhniy Odes,RU,63.6445,54.856,26.53,91,100,5.79,overcast clouds
136,Cabedelo,BR,-6.9811,-34.8339,79.47,81,44,7.65,scattered clouds
137,Bapatla,IN,15.9,80.4667,80.24,73,62,10.29,broken clouds
138,Kiunga,PG,-6.1219,141.2906,86.14,73,89,4.79,overcast clouds
139,Lavrentiya,RU,65.5833,-171.0,10.74,88,7,7.67,clear sky
140,Dargaville,NZ,-35.9333,173.8833,65.34,80,43,5.23,scattered clouds
141,Upernavik,GL,72.7868,-56.1549,9.54,72,3,5.79,clear sky
142,Xiangxiang,CN,27.7333,112.5333,53.67,41,2,9.75,clear sky
143,Komsomolskiy,UZ,40.4272,71.7189,41.72,60,75,0.0,haze
144,Hurghada,EG,27.2574,33.8129,73.85,49,0,10.54,clear sky
145,Fort Nelson,CA,58.8053,-122.7002,24.39,93,90,0.0,light shower snow
146,San Patricio,US,28.017,-97.5169,70.83,74,0,6.62,clear sky
147,Tiksi,RU,71.6872,128.8694,14.11,78,100,25.1,overcast clouds
148,Aswan,EG,24.0934,32.907,76.06,32,0,7.96,clear sky
