City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Luganville,VU,81.14,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
483,Bardiyah,LY,65.66,clear sky,31.7561,25.0865,بورتو بردية
485,Barra Do Corda,BR,71.91,broken clouds,-5.5,-45.25,Belchior Palace Hotel
486,Mahibadhoo,MV,82.96,overcast clouds,3.7833,72.9667,Omadhoo Inn
488,Maxixe,MZ,76.82,scattered clouds,-23.8597,35.3472,Oceano
489,Mancheral,IN,77.7,scattered clouds,18.8667,79.4333,Hotel Vaibhav
492,Bowen,AU,89.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
494,Samarai,PG,85.48,clear sky,-10.6167,150.6667,Nuli Sapi
497,Thanh Hoa,VN,65.19,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
500,Sao Filipe,CV,77.49,overcast clouds,14.8961,-24.4956,Hotel Xaguate
502,Banda Aceh,ID,81.59,overcast clouds,5.5577,95.3222,Sulthan Hotel International
504,Camocim,BR,76.6,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
506,Bubaque,GW,82.96,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
507,Nchelenge,ZM,76.96,broken clouds,-9.3451,28.734,KD Travellers Home
508,Lobito,AO,74.79,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
510,Lundazi,ZM,78.6,scattered clouds,-12.2929,33.1782,"Stones Hotel, Lundazi"
512,Toamasina,MG,78.8,few clouds,-18.1667,49.3833,Hotel H1
513,San Juan,AR,68.2,clear sky,-31.5375,-68.5364,Hotel Provincial
515,Vaitape,PF,79.25,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
517,Turan,VN,84.18,broken clouds,16.0678,108.2208,Sun River Hotel
519,Dharchula,IN,70.12,clear sky,29.85,80.5333,Mahara Hotel
523,Sibi,PK,84.16,clear sky,29.5448,67.8764,Jail Superintendent House
525,Puerto Del Rosario,ES,67.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
526,Iquitos,PE,73.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
532,Ketou,BJ,75.88,overcast clouds,7.3633,2.5998,Residences Celine Hotel Ketou
534,Lodwar,KE,85.68,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
540,Ngunguru,NZ,65.59,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
542,Davila,PH,87.78,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
544,Chibombo,ZM,76.14,broken clouds,-14.6569,28.0706,Chibombo District Council Guest House
547,Josefina,PH,82.36,broken clouds,8.2,123.5333,Teofelo espanol
550,Vila Velha,BR,70.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
553,Aguas Formosas,BR,67.64,overcast clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
560,Alice Springs,AU,65.75,moderate rain,-23.7,133.8833,Desert Palms Alice Springs
561,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
563,Khuzdar,PK,70.25,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
577,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
578,Kindu,CD,70.25,overcast clouds,-2.95,25.95,Résidence Okanda
579,Las Vegas,US,73.18,clear sky,36.175,-115.1372,Plaza Hotel & Casino
581,Tripoli,LY,72.21,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
586,Palu,ID,87.15,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
588,Sola,VU,81.79,few clouds,-13.8833,167.55,Leumerus Bungalows
590,Kapit,MY,92.97,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
591,Canutama,BR,74.44,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
592,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
593,Abnub,EG,68.77,clear sky,27.2696,31.1511,Romany Adly Gad
601,Puerto Escondido,MX,77.59,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
606,Anan,JP,73.27,broken clouds,33.9167,134.65,Royal Garden Hotel
613,Sebu,PH,84.07,few clouds,6.22,124.6936,Balben Family Cove
616,Daru,PG,86.23,scattered clouds,-9.0763,143.2092,Daru Lodge
617,Puerto Baquerizo Moreno,EC,69.21,broken clouds,-0.9,-89.6,Hotel los Algarrobos
618,Maragogi,BR,76.6,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
619,Katubao,PH,89.26,clear sky,5.8892,124.8294,IML Ecopark
621,Durban,ZA,71.92,light rain,-29.8579,31.0292,Hilton Durban
624,Sakaiminato,JP,73.38,broken clouds,35.55,133.2333,味処・民宿 まつや
628,Sao Francisco,BR,72.5,overcast clouds,-15.9486,-44.8644,Hotel Supremo
630,Daud Khel,PK,77.13,clear sky,32.875,71.5701,MLCFL CFPP Hostel 6
636,Santa Fe,AR,70.02,clear sky,-31.6333,-60.7,Conquistador Hotel
639,Mtwara,TZ,81.59,broken clouds,-10.2667,40.1833,TIL Hotels Mtwara
640,Richards Bay,ZA,71.46,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
641,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
642,Mutis,CO,76.95,light rain,6.2262,-77.4044,Paraiso Escondido
643,Banes,CU,72.21,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
644,Tautira,PF,78.82,few clouds,-17.7333,-149.15,Pension Oaoa
650,Coahuayana,MX,75.58,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
652,Oussouye,SN,76.98,few clouds,12.485,-16.5469,Auberge du Routard
655,Mocuba,MZ,82.38,clear sky,-16.8392,36.9856,Phama Lodge
656,Boyolangu,ID,82.2,very heavy rain,-8.1181,111.8935,Yos ega cv
658,Akonolinga,CM,66.88,overcast clouds,3.7667,12.25,Le Diamant De Mireille
660,Jardim,BR,70.38,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
661,Limbdi,IN,84.94,scattered clouds,22.5667,71.8,LIMBDI YOGI HOTEL
663,Biak,ID,83.8,overcast clouds,-0.9131,122.8766,Penginapan Kim
664,Port Moresby,PG,90.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
665,Kosai,JP,74.93,scattered clouds,34.7105,137.5316,Hotel Route Inn Hamanako
667,Ampanihy,MG,87.82,few clouds,-24.7,44.75,Angora Hotel
